protease_family,protease_name_example,total_cleavages,organisms_count,is_exopeptidase
S29,hepacivirin,6,2,False
S69,Tellina virus 1 VP4 peptidase,6,1,False
M60,ZmpB peptidase ({Clostridium perfringens}),6,2,False
C124,Lem27 ({Legionella pneumophila}),5,1,False
C33,equine arteritis virus Nsp2-type cysteine peptidase,5,4,False
N06,YscU protein,5,4,False
M90,MtfA peptidase,5,1,False
C49,Strawberry mottle virus 3C-like peptidase,5,1,False
S39,sobemovirus peptidase,5,2,False
A08,signal peptidase II,5,2,False
C57,vaccinia virus I7L processing peptidase,4,2,False
C51,D-alanyl-glycyl peptidase (staphylococcal phage phi11-type),4,1,False
C120,mavirus processing peptidase,4,1,False
C98,USPL1 peptidase,4,1,False
S81,destabilase,4,1,False
A36,sporulation factor SpoIIGA,4,4,False
S85,small protease ({Pseudomonas aeruginosa}),4,1,False
C66,IdeS peptidase,4,2,False
C76,viral tegument protein deubiquitinylating peptidase,4,2,False
C53,pestivirus Npro peptidase,4,4,False
C55,YopJ protein,4,2,False
S31,pestivirus NS3 polyprotein peptidase,4,1,False
S75,White bream virus serine peptidase,4,1,False
P02,EGF-like module containing mucin-like hormone receptor-like 2,4,1,False
M07,snapalysin,4,2,False
C82,"L,D-transpeptidase ({Enterococcus}-type)",4,3,False
S30,potyvirus P1 peptidase,3,3,False
M74,murein endopeptidase,3,1,False
S55,SpoIVB peptidase,3,1,False
S37,PS-10 peptidase,3,2,False
S59,nucleoporin 145,3,3,False
S45,penicillin G acylase precursor,3,2,False
C21,tymovirus peptidase,3,3,False
C26,gamma-glutamyl hydrolase,3,1,False
C79,ElaD peptidase ({Escherichia}-type),3,1,False
C42,beet yellows virus-type papain-like peptidase,3,3,False
C87,nairovirus deubiquitinylating peptidase,3,2,False
G03,strawberry mottle virus glutamic peptidase,3,2,False
C70,AvrRpt2 peptidase,3,2,False
C86,ataxin-3,2,1,False
T05,ornithine acetyltransferase precursor,2,2,False
A39,TseI g.p. ({Aeromonas dhakensis}),2,1,False
C89,acid ceramidase precursor,2,2,False
C99,iflavirus processing peptidase,2,1,False
C83,gamma-glutamylcysteine dipeptidyltranspeptidase,2,1,False
S65,picornain-like serine peptidase (Breda-1 torovirus),2,1,False
S74,Escherichia coli phage K1F endosialidase CIMCD self-cleaving protein,2,2,False
C106,archaeosortase A ({Haloferax volcanii }),2,1,False
S68,PIDD auto-processing protein unit 1,2,1,False
M56,BlaR1 peptidase,2,1,False
C95,lysosomal 66.3 kDa protein ({Mus musculus}-type),2,1,False
C62,gill-associated virus 3C-like peptidase,2,1,False
M101,flagellinolysin,2,1,False
C45,acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase precursor,2,2,False
M85,NleC peptidase ({Escherichia coli}),2,1,False
G06,Ras/Rap1-specific peptidase,2,2,False
C06,potato virus Y-type helper component peptidase,2,2,False
C105,papain-like peptidase 1 alpha (simian hemorrhagic fever virus),2,1,False
N01,nodavirus peptide lyase,2,2,False
M99,Csd4 peptidase ({Helicobacter pylori}),2,2,False
C118,EspL g.p. ({Escherichia coli}),2,1,False
S03,togavirin,2,2,False
C108,Prp peptidase ({Staphylococcus aureus}),2,2,False
N04,Tsh-associated self-cleaving domain ({Escherichia coli}) and similar,2,2,False
N11,intein-containing chloroplast ATP-dependent peptide lyase,2,1,False
C107,alphamesonivirus 3C-like peptidase,2,1,False
M64,IgA peptidase ({Clostridium ramosum}-type),2,1,False
C18,hepatitis C virus peptidase 2,2,2,False
C74,pestivirus NS2 peptidase,1,1,False
C75,AgrB peptidase,1,1,False
C71,pseudomurein endoisopeptidase Pei,1,1,False
G02,pre-neck appendage protein (Bacillus phage phi29),1,1,False
U40,protein P5 murein endopeptidase (bacteriophage phi-6),1,1,False
C93,LapG peptidase ({Pseudomonas fluorescens}),1,1,False
C96,McjB peptidase,1,1,False
T07,CwpV ({Clostridium difficile}) self-cleaving threonine peptidase,1,1,False
C84,prtH peptidase ({Tannerella forsythensis} ATCC 43037),1,1,False
U72,Dop isopeptidase,1,1,False
U49,Lit peptidase,1,1,False
