molecule_id,smiles,ic50_nm,pchembl,assay_description,journal,year
CHEMBL195189,CC(C)[C@H](N)C(=O)N1CCC[C@@H]1B(O)O,0.3,9.52,Inhibitory concentration against human dipeptidylpeptidase 4,Bioorg Med Chem Lett,2005
CHEMBL365322,CC(C)[C@H](N)C(=O)N[C@@H](C)B(O)O,0.89,9.05,Inhibitory concentration against human dipeptidylpeptidase 4,Bioorg Med Chem Lett,2005
CHEMBL362922,O=C(CNC1CC2CCCC1C2)N1CCC[C@H]1C(O)O,25.0,7.6,Inhibitory activity against human DPP4 using Gly-Pro-AMC in fluorometric assay,Bioorg Med Chem Lett,2005
CHEMBL98408,CC[C@H](C)[C@H](N)C(=O)N1CCSC1,1660.0,5.78,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL202711,CC(C)(CC(=O)NC(C)(C)c1ccccc1)NCC(=O)N1CCC[C@H]1C#N,1108.0,5.96,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL201644,CC(C)(CC(=O)N1Cc2ccccc2C1)NCC(=O)N1CCC[C@H]1C#N,15.0,7.82,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL425756,CC(C)(CC(=O)N1CCc2cc(F)cc(F)c2C1)NCC(=O)N1CCC[C@H]1C#N,22.0,7.66,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL380902,CC(C)(CC(=O)N1CCc2cc(F)ccc2C1)NCC(=O)N1CCC[C@H]1C#N,30.0,7.52,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL201424,CC(C)(CC(=O)N1CCc2ccccc2C1)NCC(=O)N1CCC[C@H]1C#N,49.0,7.31,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL201398,CC(C)[C@@H](CC(=O)N1CCc2ccccc2C1)NCC(=O)N1CCC[C@H]1C#N,811.0,6.09,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL425585,C[C@@H](CC(=O)N1CCc2ccccc2C1)NCC(=O)N1CCC[C@H]1C#N,54.0,7.27,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL371057,N#C[C@@H]1CCCN1C(=O)CNCCCC(=O)N1CCc2ccccc2C1,428.0,6.37,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL371480,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)Nc1ccccc1,298.0,6.53,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL201544,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)NCCc1ccccc1,564.0,6.25,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL201158,CC(C)(NC(=O)CCNCC(=O)N1CCC[C@H]1C#N)c1ccccc1,119.0,6.92,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL372391,CC(C)C(NC(=O)CCNCC(=O)N1CCC[C@H]1C#N)c1ccccc1,784.0,6.11,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL382847,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)NCc1cc(F)cc(F)c1,369.0,6.43,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL201695,CCC(NC(=O)CCNCC(=O)N1CCC[C@H]1C#N)c1ccccc1,447.0,6.35,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL203032,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)NCc1ccc([N+](=O)[O-])cc1,317.0,6.5,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL382907,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)NCc1ccccc1,452.0,6.34,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL383841,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)N1CCN(c2nc3ccccc3s2)CC1,527.0,6.28,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL201753,CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)CCNCC(=O)N3CCC[C@H]3C#N)CC2)cc1,1418.0,5.85,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL372746,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)N1CCN(C(=O)c2cc(F)cc(F)c2)CC1,676.0,6.17,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL381530,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)N1Cc2ccccc2C1,132.0,6.88,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL203084,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)N1CCc2cc(F)ccc2C1,83.0,7.08,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL424854,COc1cc2c(cc1OC)CN(C(=O)CCNCC(=O)N1CCC[C@H]1C#N)CC2,651.0,6.19,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL200103,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)N1CCc2ccccc2C1,116.0,6.94,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL371907,N#C[C@@H]1CCCN1C(=O)CNCC(=O)N1CCc2ccccc2C1,3236.0,5.49,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,51.0,7.29,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL77538,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,53.0,7.28,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL307636,N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1,12.0,7.92,Inhibitory activity against DPP4,J Med Chem,2006
CHEMBL381145,C[C@@H](c1ccc(-c2ccc(O)nc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,25.0,7.6,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL202634,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CCC(F)CC1.O=C(O)C(F)(F)F,1100.0,5.96,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL378597,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CC(F)C1.O=C(O)C(F)(F)F,31.0,7.51,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL377724,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CCSC1.O=C(O)C(F)(F)F,26.0,7.58,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL203379,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CCCC1.O=C(O)C(F)(F)F,48.0,7.32,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL206501,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1.O=C(O)C(F)(F)F,26.0,7.58,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL438265,CCOC(=O)Nc1c(-c2ccc([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)cn(C)c(=O)c1F.O=C(O)C(F)(F)F,120.0,6.92,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL203267,C[C@@H](c1ccc(-c2cn(C)c(=O)c(Cl)c2F)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,37.0,7.43,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL380496,COc1cc(=O)n(C)cc1-c1ccc([C@H](C)[C@H](N)C(=O)N2CC[C@H](F)C2)cc1.O=C(O)C(F)(F)F,67.0,7.17,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL203169,C[C@@H](c1ccc(-c2cn(C)c(=O)cc2CO)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,38.0,7.42,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL425039,Cc1cc(=O)n(C)cc1-c1ccc([C@H](C)[C@H](N)C(=O)N2CC[C@H](F)C2)cc1.O=C(O)C(F)(F)F,52.0,7.28,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL424687,C[C@@H](c1ccc(-c2cn(C)c(=O)cc2F)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,61.0,7.21,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL383651,C[C@@H](c1ccc(-c2cc(Br)c(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,69.0,7.16,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL203736,C[C@@H](c1ccc(-c2cc(F)c(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,49.0,7.31,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL203323,Cc1c(-c2ccc([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)cc(Br)c(=O)n1C.O=C(O)C(F)(F)F,570.0,6.24,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL206252,Cc1c(-c2ccc([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)ccc(=O)n1C.O=C(O)C(F)(F)F,320.0,6.5,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL205872,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2F)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,29.0,7.54,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL206172,C[C@@H](c1ccc(-c2ccc(=O)n(-c3ccc(F)cc3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,229.0,6.64,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL438258,CCOC(=O)C(F)(F)n1cc(-c2ccc([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)ccc1=O.O=C(O)C(F)(F)F,92.0,7.04,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL382674,CCOC(=O)Cn1cc(-c2ccc([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)ccc1=O.O=C(O)C(F)(F)F,90.0,7.05,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL383323,C[C@@H](c1ccc(-c2ccc(=O)n(CC3CC3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,117.0,6.93,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL206792,CCn1cc(-c2ccc([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)ccc1=O.O=C(O)C(F)(F)F,74.0,7.13,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL206383,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,34.0,7.47,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL383705,CC(C)[C@H](N)C(=O)N1CCCC1,3000.0,5.52,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL382127,NCC1(c2ccccc2)CCCC1,40000.0,4.4,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL382382,NCC(c1ccccc1Cl)N1CCOCC1,30000.0,4.52,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL378152,NCc1cccnc1-c1ccccc1Cl,3300.0,5.48,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL206496,NCc1ccccc1-c1ccccc1Cl,2300.0,5.64,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL203105,NCc1c(Cl)cccc1Oc1ccccc1,37000.0,4.43,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL206743,N[C@H](c1ccccc1)[C@@H](N)c1ccccc1,75000.0,4.12,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL381340,N[C@H](c1ccccc1)[C@H](N)c1ccccc1,45000.0,4.35,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL382127,NCC1(c2ccccc2)CCCC1,33000.0,4.48,Inhibition of DPP4 by continuous fluorimetric assay,Bioorg Med Chem Lett,2006
CHEMBL425584,N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)c1ccccc1)Cc1ccccc1F,90.0,7.05,Inhibition of DPP4 by continuous fluorimetric assay,Bioorg Med Chem Lett,2006
CHEMBL381806,NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)C[C@H](N)Cc1ccccc1F,23.0,7.64,Inhibition of DPP4 by continuous fluorimetric assay,Bioorg Med Chem Lett,2006
CHEMBL382382,NCC(c1ccccc1Cl)N1CCOCC1,33000.0,4.48,Inhibition of DPP4 by continuous fluorimetric assay,Bioorg Med Chem Lett,2006
CHEMBL383488,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC1C3)C2,72.0,7.14,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL382045,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)Cc2ccccc2C1,875.0,6.06,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL207620,CC1CCC(C)(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)C1,771.0,6.11,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL378750,CC(C)(C)C(=O)CC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,1860.0,5.73,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL208756,COCCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,955.0,6.02,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL377749,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(COC2CCCCC2)CCCC1,702.0,6.15,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL378709,CC(C)COCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,454.0,6.34,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL381111,CC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,201.0,6.7,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL208657,CCCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,123.0,6.91,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL209994,CCCCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,91.0,7.04,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL379086,COCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,84.0,7.08,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL209191,CCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,64.0,7.19,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL380681,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCOCC1,1220.0,5.91,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL209127,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(Cc2ccccc2)CCC1,1160.0,5.94,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL379260,CC(C)(CO)NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N,1110.0,5.96,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL377058,CC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCCC1,689.0,6.16,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL208952,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCCCC1,687.0,6.16,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL208902,CC(C)(C)NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N,663.0,6.18,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL209058,CC(C)(Cc1ccc(F)cc1)NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N,651.0,6.19,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL210259,CC(C)(NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N)c1ccccc1,261.0,6.58,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL211024,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CN[C@H]1C[C@@H]2CC[C@H]1C2,237.0,6.62,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL377320,CC(C)(C)CC(C)(C)NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N,208.0,6.68,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL208673,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(c2ccccc2)CCC1,164.0,6.79,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL207980,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC(C3)C1)C2,106.0,6.97,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL379522,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCCC1,104.0,6.98,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL207912,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,74.0,7.13,Inhibition of human recombinant DPP4,J Med Chem,2006
CHEMBL379522,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCCC1,109.0,6.96,Inhibition of DPP4 in Beagle dog plasma,J Med Chem,2006
CHEMBL379522,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCCC1,92.0,7.04,Inhibition of DPP4 in cynomolgus monkey plasma,J Med Chem,2006
CHEMBL379522,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCCC1,69.0,7.16,Inhibition of DPP4 in human plasma,J Med Chem,2006
CHEMBL208957,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3nccc3n2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1.O=C(O)C(F)(F)F,7.5,8.12,Inhibition of DPP4,J Med Chem,2006
CHEMBL210829,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3ncnc3c2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1.O=C(O)C(F)(F)F,6.2,8.21,Inhibition of DPP4,J Med Chem,2006
CHEMBL537869,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1.Cl,8.8,8.06,Inhibition of DPP4,J Med Chem,2006
CHEMBL209064,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1.O=C(O)C(F)(F)F,6.3,8.2,Inhibition of DPP4,J Med Chem,2006
CHEMBL378048,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CCCC1.O=C(O)C(F)(F)F,5.2,8.28,Inhibition of DPP4,J Med Chem,2006
CHEMBL210974,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CC(F)C1.O=C(O)C(F)(F)F,2.7,8.57,Inhibition of DPP4,J Med Chem,2006
CHEMBL210621,Cc1cc(-c2ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)cn2ncnc12.O=C(O)C(F)(F)F,150.0,6.82,Inhibition of DPP4,J Med Chem,2006
CHEMBL209111,Cc1c(-c2ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)ccc2ncnn12.O=C(O)C(F)(F)F,8.6,8.07,Inhibition of DPP4,J Med Chem,2006
CHEMBL209710,Cc1nc2ccc(-c3ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N4CC[C@H](F)C4)cc3)cn2n1.O=C(O)C(F)(F)F,22.0,7.66,Inhibition of DPP4,J Med Chem,2006
CHEMBL379702,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3nccn3n2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,13.0,7.89,Inhibition of DPP4,J Med Chem,2006
CHEMBL210459,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3nccc3n2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,8.0,8.1,Inhibition of DPP4,J Med Chem,2006
CHEMBL210999,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3ncnc3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,5.3,8.28,Inhibition of DPP4,J Med Chem,2006
CHEMBL377221,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,4.3,8.37,Inhibition of DPP4,J Med Chem,2006
CHEMBL207348,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3nncn3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,4.1,8.39,Inhibition of DPP4,J Med Chem,2006
CHEMBL378673,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3nccn3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,13.0,7.89,Inhibition of DPP4,J Med Chem,2006
CHEMBL209162,CN(C)C(=O)[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,8.0,8.1,Inhibition of DPP4,J Med Chem,2006
CHEMBL208957,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3nccc3n2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1.O=C(O)C(F)(F)F,57.0,7.24,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL210829,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3ncnc3c2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1.O=C(O)C(F)(F)F,34.0,7.47,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL537869,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1.Cl,55.0,7.26,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL209064,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1.O=C(O)C(F)(F)F,71.0,7.15,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL378048,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CCCC1.O=C(O)C(F)(F)F,63.0,7.2,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL210974,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CC(F)C1.O=C(O)C(F)(F)F,41.0,7.39,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL210621,Cc1cc(-c2ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)cn2ncnc12.O=C(O)C(F)(F)F,640.0,6.19,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL209111,Cc1c(-c2ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)ccc2ncnn12.O=C(O)C(F)(F)F,61.0,7.21,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL209710,Cc1nc2ccc(-c3ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N4CC[C@H](F)C4)cc3)cn2n1.O=C(O)C(F)(F)F,223.0,6.65,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL379702,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3nccn3n2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,177.0,6.75,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL210459,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3nccc3n2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,53.0,7.28,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL210999,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3ncnc3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,35.0,7.46,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL377221,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,44.0,7.36,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL207348,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3nncn3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,16.0,7.8,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL378673,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3nccn3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,133.0,6.88,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL209162,CN(C)C(=O)[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,79.0,7.1,Inhibition of DPP4 in presence of 50% human serum,J Med Chem,2006
CHEMBL379261,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,109.0,6.96,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL210522,CC1(C)N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1Cc2ccccc2C1,984.0,6.01,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL210995,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](C(=O)N2Cc3ccccc3C2)CN1,1.7,8.77,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL427219,O=C([C@@H]1CN[C@H](C(=O)N2CCC(F)(F)C2)C1)N1Cc2ccccc2C1,129.0,6.89,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL378086,O=C([C@@H]1CN[C@H](C(=O)N2CC[C@@H](F)C2)C1)N1Cc2ccccc2C1,228.0,6.64,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL210590,O=C([C@@H]1CN[C@H](C(=O)N2CC[C@H](F)C2)C1)N1Cc2ccccc2C1,245.0,6.61,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL210353,O=C([C@@H]1CN[C@H](C(=O)N2CCSC2)C1)N1Cc2ccccc2C1,84.0,7.08,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL201644,CC(C)(CC(=O)N1Cc2ccccc2C1)NCC(=O)N1CCC[C@H]1C#N,15.0,7.82,Inhibition of DPP4,Bioorg Med Chem Lett,2006
CHEMBL210941,O=C(NCCc1ccccc1)[C@@H]1CN[C@H](C(=O)N2CCCC2)C1,2587.0,5.59,Inhibition of DPP4,Bioorg Med Chem Lett,2006
