molecule_id,smiles,ic50_nm,pchembl,assay_description,journal,year
CHEMBL9512,Cl.NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)C2CCCN2C(=O)C2CCCN2)cc1,500.0,6.3,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL269209,C[C@H](N)C(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)[C@@H](C)N)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,600.0,6.22,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL273851,Cl.O=C([C@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,5000.0,5.3,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9295,CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,30.0,7.52,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL269757,Cl.O=C(CNC(=O)c1ccccc1)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CNC(=O)c3ccccc3)cc2)C2CCCN2C(=O)C2CCCN2)cc1,700.0,6.16,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9263,CC(=O)Nc1cccc(OP(=O)(Oc2cccc(NC(C)=O)c2)C2CCCN2C(=O)C2CCCN2)c1.Cl,800.0,6.1,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9433,CS(=O)(=O)Nc1ccc(OP(=O)(Oc2ccc(NS(C)(=O)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,400.0,6.4,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL268527,COC(=O)C(Cc1ccc(OP(=O)(Oc2ccc(CC(NC(C)=O)C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1)NC(C)=O.Cl,1400.0,5.85,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9408,COC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,16.0,7.8,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL430281,Cl.NC(=O)Nc1cccc(OP(=O)(OC2=CC=CC(NC(N)=O)C2)C2CCCN2C(=O)C2CCCN2)c1,2300.0,5.64,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL274829,CCOC(=O)CNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCC(=O)OCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,23.0,7.64,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9527,Cl.O=C(C1CCCN1)N1CCCC1P(=O)(Oc1ccc(NN2CCCC2)cc1)Oc1ccc(NN2CCCC2)cc1,5000.0,5.3,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL278393,N[C@H](C(=O)N1CCCC1)C1CCCCC1,320.0,6.5,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL98408,CC[C@H](C)[C@H](N)C(=O)N1CCSC1,420.0,6.38,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL1682974,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CC1,33.0,7.48,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL22359,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,53.0,7.28,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL22679,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,94.0,7.03,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084936,N#Cc1cccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)c1,24.0,7.62,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084942,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc3ccccc3c2)CC1,18.0,7.75,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084949,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,15.0,7.82,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084939,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(F)c(F)c2)CC1,35.0,7.46,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084935,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(I)cc2)CC1,23.0,7.64,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084943,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1,24.0,7.62,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084954,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(Cl)c(Cl)c2)CC1,17.0,7.77,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084937,CN(C)C(=O)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)cc1,7.5,8.12,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084938,CN(C)C(=O)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)CC2)cc1,26.0,7.58,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL25437,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,88.0,7.06,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL278558,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,190.0,6.72,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL23176,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,25.0,7.6,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084940,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cncc3ccccc23)CC1,64.0,7.19,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084946,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(Cl)c(Cl)c2)CC1,38.0,7.42,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,34.0,7.47,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084947,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(I)cc2)CC1,33.0,7.48,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL77538,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,22.0,7.66,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084952,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2cccc3ccccc23)CC1,17.0,7.77,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084956,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cnc3ccccc3c2)CC1,9.0,8.05,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL23979,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,89.0,7.05,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084948,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc3ccccc3c2)CC1,21.0,7.68,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084955,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,55.0,7.26,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084941,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1,98.0,7.01,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL497992,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(NS(=O)(=O)CC(F)(F)F)cc2)CC1,2.6,8.59,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084953,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(I)cc2)CC1,10.0,8.0,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084944,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,46.0,7.34,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL25211,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,22.0,7.66,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084951,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc3ccccc3c2)CC1,20.0,7.7,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084945,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](N)CC1,2700.0,5.57,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL3084950,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc(Cl)c(Cl)c2)CC1,29.0,7.54,Inhibitory activity against dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2004
CHEMBL544475,CCOC(=O)c1cnc(CN)c2cc(OC)c(OC)cc12.Cl,3400.0,5.47,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL554880,COc1cc2c(CO)cnc(CN)c2cc1OC.Cl,31800.0,4.5,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL77538,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,22.0,7.66,In vitro inhibitory activity against Dipeptidyl peptidase IV (DPP-IV) extracted from Caco-2 cells.,J Med Chem,2002
CHEMBL77538,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,7.0,8.15,In vitro inhibitory activity against Dipeptidyl peptidase IV (DPP-IV) extracted from human plasma.,J Med Chem,2002
CHEMBL539758,CCCNC(=O)c1cnc(CN)c2cc(OC)c(OC)cc12.Cl,51400.0,4.29,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL553407,CCOC(=O)Nc1cnc(CN)c2cc(OC)c(OC)cc12.Cl,2300.0,5.64,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL544717,CCOC(=O)c1cnc(CN)c2cc(OC)c(OCC)cc12.Cl,4700.0,5.33,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL307636,N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1,2.0,8.7,In vitro inhibitory activity against Dipeptidyl peptidase IV (DPP-IV) extracted from Caco-2 cells,J Med Chem,2002
CHEMBL307636,N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1,3.2,8.49,In vitro inhibitory activity against Dipeptidyl peptidase IV (DPP-IV) extracted from human plasma,J Med Chem,2002
CHEMBL543062,CCCOc1cc2c(CN)ncc(C(=O)OCC)c2cc1OC.Cl,8400.0,5.08,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL544950,CCOC(=O)c1cnc(CN)c2c(OC)ccc(OC)c12.Cl,2400.0,5.62,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL288207,CCOC(=O)CCc1cnc(CN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,52600.0,4.28,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL554683,CCOC(=O)c1cnc(CN)c2cc(OCC)c(OC)cc12.Cl,6700.0,5.17,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL41114,CCOC(=O)/C=C/c1cnc(CN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,18000.0,4.75,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL544478,CCOC(=O)c1cnc(CN)c2cc(O)c(OC)cc12.Cl,14000.0,4.85,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL544241,CCOC(=O)Cc1cnc(CN)c2cc(OC)c(OC)cc12.Cl,17000.0,4.77,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL539500,CCOC(=O)c1cnc(CN)c2cc(OC)c(OC)c(OC)c12.Cl,18000.0,4.75,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL555560,CCOC(=O)c1cnc(CN)c2c(OC)cc(OC)cc12.Cl,320.0,6.5,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL77539,N#C[C@@H]1CCCN1C(=O)CNCCNc1ccc([N+](=O)[O-])cn1,8.0,8.1,In vitro inhibitory activity against Dipeptidyl peptidase IV (DPP-IV) extracted from Caco-2 cells,J Med Chem,2002
CHEMBL77539,N#C[C@@H]1CCCN1C(=O)CNCCNc1ccc([N+](=O)[O-])cn1,8.7,8.06,In vitro inhibitory activity against Dipeptidyl peptidase IV (DPP-IV) extracted from human plasma,J Med Chem,2002
CHEMBL539243,CCOC(=O)c1cnc(CN)c2c(OC)c(OC)c(OC)cc12.Cl,1100.0,5.96,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,Bioorg Med Chem Lett,2000
CHEMBL283880,Cc1cccc(C)c1N1C(=O)c2ccc(N)cc2C1=O,87900.0,4.06,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,Bioorg Med Chem Lett,1999
CHEMBL151999,CC(C)c1cccc(C(C)C)c1N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=S,30400.0,4.52,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,Bioorg Med Chem Lett,1999
CHEMBL313952,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(O)cc2C1=O,65900.0,4.18,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,Bioorg Med Chem Lett,1999
CHEMBL315471,Cc1cccc(C)c1N1C(=O)c2cccc(N)c2C1=O,60100.0,4.22,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,Bioorg Med Chem Lett,1999
CHEMBL88474,CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc(O)c2C1=O,43600.0,4.36,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,Bioorg Med Chem Lett,1999
CHEMBL88953,CCc1cccc(CC)c1N1C(=O)c2ccc(O)cc2C1=O,43300.0,4.36,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,Bioorg Med Chem Lett,1999
CHEMBL329471,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccccc2C1=S,57800.0,4.24,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,Bioorg Med Chem Lett,1999
